A,B,X,arch,ETL,HTL,Predicted_PCE,egitim_kayit_sayisi
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,15.28862744933676,10
Cs0.2_FA0.8,Pb,I,nip,TiO2_c___TiO2_mp,PTAA,15.27470229511074,263
FA0.83_Cs0.17,Pb,I,nip,TiO2_c___TiO2_mp,PTAA,15.266603144088569,263
Cs0.2_FA0.8,Pb,I,nip,PCBM_60,PTAA,15.243605289290272,6
FA0.83_Cs0.17,Pb,I,pin,PCBM_60,PTAA,15.24166441108133,61
Cs0.2_FA0.8,Pb,I0.83_Br0.17,nip,TiO2_c___TiO2_mp,PTAA,15.2363880992804,263
MA0.9_Cs0.1,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,15.211061215903609,51
FA0.83_Cs0.17,Pb,I,nip,PCBM_60,PTAA,15.20794804252272,6
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,15.20758755580447,10
FA0.85_MA0.15,Pb0.5_Sn0.5,I,nip,SnO2_np,Spiro_MeOTAD,15.203872354755593,916
MA,Pb,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,15.181282645969416,916
FA0.85_MA0.15,Pb,I0.6_Br0.4,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.175356362582905,5986
MA,Pb,I0.83_Br0.17,nip,SnO2_np,PTAA,15.155233788702937,51
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,nip,SnO2_np,PTAA,15.147496938491775,51
FA0.85_MA0.15,Pb0.5_Sn0.5,I,nip,SnO2_np,PTAA,15.132303936217651,51
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,15.101916256026415,916
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,nip,TiO2_c___TiO2_mp,PTAA,15.09341550780009,263
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,15.08491563981407,916
FA0.85_MA0.15,Pb,I0.6_Br0.4,pin,PCBM_60,PTAA,15.083280892198289,61
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I0.83_Br0.17,nip,SnO2_np,PTAA,15.025521275886955,51
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,nip,PCBM_60,PTAA,15.019440768607442,6
FA0.83_Cs0.17,Pb,I0.6_Br0.4,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,15.008515882374692,15
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,pin,PCBM_60,PTAA,14.997574726849408,61
FA,Pb,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,14.98578962085758,10
FA0.83_Cs0.17,Pb,I0.6_Br0.4,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.966452577866198,5986
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.83_Br0.17,nip,SnO2_np,PTAA,14.96405178398036,51
Cs0.2_FA0.8,Pb,I0.6_Br0.4,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.946912969895395,15
FA,Pb,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,14.915389889433593,916
Cs0.2_FA0.8,Pb,I0.6_Br0.4,nip,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.888291107909795,5986
FA0.85_MA0.15,Pb,I0.6_Br0.4,nip,PCBM_60,PTAA,14.869855798992152,6
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,14.853438719178024,10
FA0.85_MA0.15,Pb,I0.6_Br0.4,nip,TiO2_c___TiO2_mp,PTAA,14.847957376500014,263
FA,Pb,I,nip,SnO2_np,Spiro_MeOTAD,14.837525977943676,916
Cs0.2_FA0.8,Pb0.5_Sn0.5,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,14.805118257591694,10
FA,Pb,I,pin,SnO2_np,Spiro_MeOTAD,14.793720796679033,10
FA0.85_MA0.15,Pb,I,nip,PCBM_60,Spiro_MeOTAD,14.783421336679693,68
FA0.8_MA0.1_Cs0.1,Pb,I0.6_Br0.4,nip,PCBM_60,Spiro_MeOTAD,14.780804602194811,68
MA,Pb,I,pin,PCBM_60,PTAA,14.764517165038184,61
FA0.83_Cs0.17,Pb0.5_Sn0.5,I0.83_Br0.17,pin,SnO2_np,Spiro_MeOTAD,14.761589044350794,10
Cs0.2_FA0.8,Pb0.5_Sn0.5,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,14.74292576430235,916
MA0.9_Cs0.1,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,14.733727679986153,10
FA0.85_MA0.15,Pb,I0.83_Br0.17,nip,PCBM_60,Spiro_MeOTAD,14.721334303185206,68
FA0.83_Cs0.17,Pb0.5_Sn0.5,I0.83_Br0.17,nip,SnO2_np,Spiro_MeOTAD,14.71595510853856,916
Cs0.2_FA0.8,Pb0.5_Sn0.5,I,nip,SnO2_np,Spiro_MeOTAD,14.65095256005348,916
FA0.85_MA0.15,Pb0.5_Sn0.5,I0.6_Br0.4,nip,SnO2_np,Spiro_MeOTAD,14.649726909655335,916
Cs0.2_FA0.8,Pb0.5_Sn0.5,I,pin,SnO2_np,Spiro_MeOTAD,14.643409347391913,10
FA0.83_Cs0.17,Pb,I0.6_Br0.4,pin,PCBM_60,PTAA,14.616119353700809,61
Cs0.2_FA0.8,Pb,I0.6_Br0.4,pin,PCBM_60,PTAA,14.593592857736065,61
FA0.83_Cs0.17,Pb,I0.83_Br0.17,nip,PCBM_60,Spiro_MeOTAD,14.592173681936757,68
MA0.9_Cs0.1,Pb,I,pin,PCBM_60,PTAA,14.58455471543185,61
FA0.8_MA0.1_Cs0.1,Pb0.5_Sn0.5,I,pin,TiO2_c___TiO2_mp,Spiro_MeOTAD,14.57709752446661,15
Cs0.2_FA0.8,Pb,I0.83_Br0.17,nip,PCBM_60,Spiro_MeOTAD,14.561369540712802,68
MA,Pb,I0.6_Br0.4,pin,SnO2_np,Spiro_MeOTAD,14.5592072274754,10
FA0.83_Cs0.17,Pb0.5_Sn0.5,I,nip,SnO2_np,Spiro_MeOTAD,14.549239604080284,916
FA0.83_Cs0.17,Pb0.5_Sn0.5,I,pin,SnO2_np,Spiro_MeOTAD,14.525137833941608,10
MA,Pb,I,nip,PCBM_60,PTAA,14.496975434670668,6
MA0.9_Cs0.1,Pb,I,nip,PCBM_60,PTAA,14.49059734570892,6
